batch_id,tablet_id,dissolution
B001,1,85
B001,2,83
B001,3,87
B001,4,81
B001,5,86
B001,6,84
B001,7,85
B001,8,84
B001,9,85
B001,10,82
B001,11,83
B001,12,84
B001,13,81
B001,14,85
B001,15,87
B001,16,78
B001,17,86
B001,18,84
B001,19,88
B001,20,84
B001,21,80
B001,22,83
B001,23,85
B001,24,82
B002,1,80
B002,2,82
B002,3,80
B002,4,81
B002,5,83
B002,6,78
B002,7,81
B002,8,81
B002,9,81
B002,10,79
B002,11,82
B002,12,80
B002,13,79
B002,14,81
B002,15,80
B002,16,83
B002,17,76
B002,18,75
B002,19,80
B002,20,79
B002,21,81
B002,22,78
B002,23,82
B002,24,78
B003,1,80
B003,2,85
B003,3,79
B003,4,82
B003,5,77
B003,6,75
B003,7,88
B003,8,83
B003,9,84
B003,10,78
B003,11,86
B003,12,83
B003,13,87
B003,14,86
B003,15,84
B003,16,81
B003,17,82
B003,18,83
B003,19,86
B003,20,84
B003,21,85
B003,22,81
B003,23,81
B003,24,83